"","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std","minimum","maximum","std"
"1",0.02484,0.17665,0.03219,1,1,0,1,1,0,0.05,0.05,0,8,8,0,1,1,0,0,0,0,1,1,0,1,1,0,0.1,0.1,0,2,2,0,0,0,0,0,1,0.4761,0,75,31.49074,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0.4761,0,0,0,0,1,0.4761
"2",0.01536,0.02022,0.00119,5,5,0,1,1,0,0.05,0.05,0,2,2,0,1,1,0,0,0,0,1,1,0,1,1,0,0.2,0.2,0,4,4,0,0,0,0,0,1,0.4761,0,75,31.49074,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0.4761,0.24,0.24,0,0,1,0.4761
"3",0.01024,0.01348,0.00079,3,3,0,1,1,0,0.05,0.05,0,2,2,0,1,1,0,0,0,0,1,1,0,1,1,0,0.2,0.2,0,4,4,0,0,0,0,0,1,0.4761,0,75,31.49074,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0.4761,0.24,0.24,0,0,1,0.4761
"4",0.08194,0.10784,0.00633,8,8,0,1,1,0,0.05,0.05,0,2,2,0,1,1,0,0,0,0,1,1,0,1,1,0,0.2,0.2,0,4,4,0,0,0,0,0,1,0.4761,0,75,31.49074,0,0,0,1,1,0,1,1,0,0.5,0.5,0,0,1,0.4761,0.24,0.24,0,0,1,0.4761
"5",0.02049,0.02696,0.00158,3,3,0,1,1,0,0.05,0.05,0,2,2,0,1,1,0,0,0,0,1,1,0,1,1,0,0.2,0.2,0,4,4,0,0,0,0,0,1,0.4761,0,75,31.49074,0,0,0,1,1,0,1,1,0,0.5,0.5,0,0,1,0.4761,0.24,0.24,0,0,1,0.4761
"6",0,0.06462,0.01536,50,50,0,1,1,0,0.05,0.05,0,2,2,0,1,1,0,0,0,0,0,1,0.23764,1,1,0,0.3,0.3,0,3,3,0,0,0,0,0,1,0.4761,0,75,31.49074,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0.4761,0.24,0.24,0,0,1,0.4761
"7",0.18961,0.35766,0.04089,15,15,0,1,1,0,0.05,0.05,0,2,2,0,1,1,0,0,0,0,1,1,0,1,1,0,0.3,0.3,0,3,3,0,0,0,0,0,1,0.4761,0,75,31.49074,0,0,0,1,1,0,1,1,0,0.8,0.8,0,0,1,0.4761,0.24,0.24,0,0,1,0.4761
"8",0.30824,0.53674,0.0583,5,5,0,1,1,0,0.05,0.05,0,2,2,0,1,1,0,0,0,0,1,1,0,1,1,0,0.3,0.3,0,3,3,0,0,0,0,0,1,0.4761,0,75,31.49074,0,0,0,1,1,0,1,1,0,0.8,0.8,0,0,1,0.4761,0.24,0.24,0,0,1,0.4761
"9",0.00737,0.06892,0.01173,1,1,0,1,1,0,0.05,0.05,0,2,2,0,1,1,0,0,0,0,1,1,0,1,1,0,0.2,0.2,0,2,2,0,0,0,0,0,1,0.4761,0,75,31.49074,0,0,0,1,1,0,1,1,0,0.5,0.5,0,0,1,0.4761,0.24,0.24,0,0,1,0.4761
"10",0.01982,0.04541,0.00698,0.31,0.31,0,1,1,0,0.05,0.05,0,8,8,0,1,1,0,0,0,0,1,1,0,1,1,0,0.1,0.1,0,2,2,0,0,0,0,0,1,0.4761,0,75,31.49074,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0.4761,0,0,0,0,1,0.4761
