"File","RGroup","Space Value"
"rgroup.freq.0.graz.0.0.fixed1.Current.in","sagebrush","0.104894650654532"
"rgroup.freq.0.graz.0.0.fixed1.Current.in","a.cool.forb","0.0192302798798613"
"rgroup.freq.0.graz.0.0.fixed1.Current.in","a.warm.forb","0.0128201865865742"
"rgroup.freq.0.graz.0.0.fixed1.Current.in","p.cool.forb","0.102561492692594"
"rgroup.freq.0.graz.0.0.fixed1.Current.in","p.warm.forb","0.0256403731731485"
"rgroup.freq.0.graz.0.0.fixed1.Current.in","a.cool.grass","0"
"rgroup.freq.0.graz.0.0.fixed1.Current.in","p.cool.grass","0.357656210118531"
"rgroup.freq.0.graz.0.0.fixed1.Current.in","p.warm.grass","0.30824117376535"
"rgroup.freq.0.graz.0.0.fixed1.Current.in","shrub","0.0295016204965873"
"rgroup.freq.0.graz.0.0.fixed1.Current.in","succulents","0.0394540126328217"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","sagebrush","0.0872741159693727"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","a.cool.forb","0.0202205618746838"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","a.warm.forb","0.0134803745831226"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","p.cool.forb","0.10784299666498"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","p.warm.forb","0.0269607491662451"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","a.cool.grass","0"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","p.cool.grass","0.312068717248294"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","p.warm.grass","0.365729590391203"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","shrub","0.0245458451163861"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","succulents","0.0418770489857126"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","sagebrush","0.0939149088553673"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","a.cool.forb","0.0183909818792029"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","a.warm.forb","0.0122606545861353"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","p.cool.forb","0.0980852366890821"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","p.warm.forb","0.0245213091722705"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","a.cool.grass","0"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","p.cool.grass","0.319046659946593"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","p.warm.grass","0.379423927595647"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","shrub","0.0264135681155721"
"rgroup.freq.0.graz.0.0.fixed1.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","succulents","0.0279427531601294"
