"RGroup","File","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"sagebrush","sxwprod_v2.Current.in","0.04","0","0","-0.12","-0.187962963","-0.071851852","-0.0462499999999999","-0.002222222","0.026898148","0","0","0.00937499999999997"
"a.cool.forb","sxwprod_v2.Current.in","0","-0.16875","-0.3","-0.3","-0.15625","0.177777778","0.2875","-0.014814815","0.017824074","0","0","0"
"a.warm.forb","sxwprod_v2.Current.in","0","0","-0.2","-0.3","-0.177083333","-0.047407407","-0.08875","0.074074074","0.070601852","0","0","0"
"p.cool.forb","sxwprod_v2.Current.in","0","-0.16875","-0.3","-0.3","-0.153935185","0.307407407","0.13125","0.018518519","0.00462963","0","0","0"
"p.warm.forb","sxwprod_v2.Current.in","0","0","-0.1","-0.2","-0.166666667","-0.133333333","-0.09375","0","0.060416667","0","0","0.03125"
"a.cool.grass","sxwprod_v2.Current.in","0","-0.16875","-0.2","-0.2","-0.158564815","0.381481481","0.16875","-0.014814815","-0.00578703700000001","0","0","0"
"p.cool.grass","sxwprod_v2.Current.in","0","-0.16875","-0.2","-0.2","-0.162037037","0.162962963","0.1","0.066666667","0.021759259","0","0","0"
"p.warm.grass","sxwprod_v2.Current.in","0","0","0","-0.1","-0.172453704","-0.133333333","-0.09375","-0.00740740699999998","0.04837963","0","0","0.015625"
"shrub","sxwprod_v2.Current.in","0.04","0","0","-0.12","-0.187962963","-0.071851852","-0.0462499999999999","-0.002222222","0.026898148","0","0","0.00937499999999997"
"succulents","sxwprod_v2.Current.in","0.04","0","0","-0.12","-0.187962963","-0.071851852","-0.0462499999999999","-0.002222222","0.026898148","0","0","0.00937499999999997"
"sagebrush","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0.04","0","0","-0.12","-0.187962963","-0.071851852","-0.0462499999999999","-0.002222222","0.026898148","0","0","0.00937499999999997"
"a.cool.forb","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","-0.16875","-0.3","-0.3","-0.15625","0.177777778","0.2875","-0.014814815","0.017824074","0","0","0"
"a.warm.forb","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","0","-0.2","-0.3","-0.177083333","-0.047407407","-0.08875","0.074074074","0.070601852","0","0","0"
"p.cool.forb","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","-0.16875","-0.3","-0.3","-0.153935185","0.307407407","0.13125","0.018518519","0.00462963","0","0","0"
"p.warm.forb","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","0","-0.1","-0.2","-0.166666667","-0.133333333","-0.09375","0","0.060416667","0","0","0.03125"
"a.cool.grass","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","-0.16875","-0.2","-0.2","-0.158564815","0.381481481","0.16875","-0.014814815","-0.00578703700000001","0","0","0"
"p.cool.grass","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","-0.16875","-0.2","-0.2","-0.162037037","0.162962963","0.1","0.066666667","0.021759259","0","0","0"
"p.warm.grass","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","0","0","-0.1","-0.172453704","-0.133333333","-0.09375","-0.00740740699999998","0.04837963","0","0","0.015625"
"shrub","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0.04","0","0","-0.12","-0.187962963","-0.071851852","-0.0462499999999999","-0.002222222","0.026898148","0","0","0.00937499999999997"
"succulents","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0.04","0","0","-0.12","-0.187962963","-0.071851852","-0.0462499999999999","-0.002222222","0.026898148","0","0","0.00937499999999997"
"sagebrush","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0.04","0","0","-0.12","-0.187962963","-0.071851852","-0.0462499999999999","-0.002222222","0.026898148","0","0","0.00937499999999997"
"a.cool.forb","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0","-0.16875","-0.3","-0.3","-0.15625","0.177777778","0.2875","-0.014814815","0.017824074","0","0","0"
"a.warm.forb","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0","0","-0.2","-0.3","-0.177083333","-0.047407407","-0.08875","0.074074074","0.070601852","0","0","0"
"p.cool.forb","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0","-0.16875","-0.3","-0.3","-0.153935185","0.307407407","0.13125","0.018518519","0.00462963","0","0","0"
"p.warm.forb","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0","0","-0.1","-0.2","-0.166666667","-0.133333333","-0.09375","0","0.060416667","0","0","0.03125"
"a.cool.grass","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0","-0.16875","-0.2","-0.2","-0.158564815","0.381481481","0.16875","-0.014814815","-0.00578703700000001","0","0","0"
"p.cool.grass","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0","-0.16875","-0.2","-0.2","-0.162037037","0.162962963","0.1","0.066666667","0.021759259","0","0","0"
"p.warm.grass","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0","0","0","-0.1","-0.172453704","-0.133333333","-0.09375","-0.00740740699999998","0.04837963","0","0","0.015625"
"shrub","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0.04","0","0","-0.12","-0.187962963","-0.071851852","-0.0462499999999999","-0.002222222","0.026898148","0","0","0.00937499999999997"
"succulents","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","0.04","0","0","-0.12","-0.187962963","-0.071851852","-0.0462499999999999","-0.002222222","0.026898148","0","0","0.00937499999999997"
"sagebrush","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-s2.in","0.04","0","0","-0.12","-0.187962963","-0.071851852","-0.0462499999999999","-0.002222222","0.026898148","0","0","0.00937499999999997"
"a.cool.forb","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-s2.in","0","-0.16875","-0.3","-0.3","-0.15625","0.177777778","0.2875","-0.014814815","0.017824074","0","0","0"
"a.warm.forb","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-s2.in","0","0","-0.2","-0.3","-0.177083333","-0.047407407","-0.08875","0.074074074","0.070601852","0","0","0"
"p.cool.forb","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-s2.in","0","-0.16875","-0.3","-0.3","-0.153935185","0.307407407","0.13125","0.018518519","0.00462963","0","0","0"
