"File","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"sxwprod_v2.Current.in","-0.035","-0.0421875","-0.0499999999999999","0.1","0.337847222","0.00740740699999998","0.01125","-0.010740741","-0.015347222","0","0","-0.015625"
"sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","-0.035","-0.0421875","-0.0499999999999999","0.1","0.337847222","0.00740740699999998","0.01125","-0.010740741","-0.015347222","0","0","-0.015625"
"sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-g2.in","-0.035","-0.0421875","-0.0499999999999999","0.1","0.337847222","0.00740740699999998","0.01125","-0.010740741","-0.015347222","0","0","-0.015625"
"sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.FGOALS-s2.in","-0.035","-0.0421875","-0.0499999999999999","0.1","0.337847222","0.00740740699999998","0.01125","-0.010740741","-0.015347222","0","0","-0.015625"
"sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.GISS-E2-R.in","-0.035","-0.0421875","-0.0499999999999999","0.1","0.337847222","0.00740740699999998","0.01125","-0.010740741","-0.015347222","0","0","-0.015625"
"sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP85.FGOALS-s2.in","-0.035","-0.0421875","-0.0499999999999999","0.1","0.337847222","0.00740740699999998","0.01125","-0.010740741","-0.015347222","0","0","-0.015625"
"sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP85.GISS-E2-R.in","-0.035","-0.0421875","-0.0499999999999999","0.1","0.337847222","0.00740740699999998","0.01125","-0.010740741","-0.015347222","0","0","-0.015625"
"sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-CC.in","-0.035","-0.0421875","-0.0499999999999999","0.1","0.337847222","0.00740740699999998","0.01125","-0.010740741","-0.015347222","0","0","-0.015625"
"sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP85.HadGEM2-ES.in","0","0","0","0","0","0","0","0","0","0","0","0"
"sxwprod_v2.hybrid-delta-3mod.d90yrs.RCP45.CSIRO-Mk3-6-0.in","-0.035","-0.0421875","-0.0499999999999999","0.1","0.337847222","0.00740740699999998","0.01125","-0.010740741","-0.015347222","0","0","-0.015625"
"sxwprod_v2.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-g2.in","0","0","0","0","0","0","0","0","0","0","0","0"
"sxwprod_v2.hybrid-delta-3mod.d90yrs.RCP45.FGOALS-s2.in","-0.035","-0.0421875","-0.0499999999999999","0.1","0.337847222","0.00740740699999998","0.01125","-0.010740741","-0.015347222","0","0","-0.015625"
"sxwprod_v2.hybrid-delta-3mod.d90yrs.RCP45.GISS-E2-R.in","-0.035","-0.0421875","-0.0499999999999999","0.1","0.337847222","0.00740740699999998","0.01125","-0.010740741","-0.015347222","0","0","-0.015625"
"sxwprod_v2.hybrid-delta-3mod.d90yrs.RCP85.FGOALS-s2.in","-0.07","-0.05","-0.0499999999999999","0.1","0.39","0.05","0.03","-0.00999999999999995","-0.09","-0.08","-0.12","-0.1"
"sxwprod_v2.hybrid-delta-3mod.d90yrs.RCP85.GISS-E2-R.in","-0.035","-0.0421875","-0.0499999999999999","0.1","0.337847222","0.00740740699999998","0.01125","-0.010740741","-0.015347222","0","0","-0.015625"
"sxwprod_v2.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-CC.in","-0.035","0","0","0.027402344","0.080390625","0.00234374999999998","0.01125","-0.012695312","-0.072890625","-0.069794922","-0.12","-0.1"
"sxwprod_v2.hybrid-delta-3mod.d90yrs.RCP85.HadGEM2-ES.in","0.05","0.0499999999999999","-0.055404664","-0.224074074","-0.042592593","-0.00443072700000002","0.00146776399999998","-0.010740741","-0.054938272","-0.062318244","-0.12","-0.1"
