"RGroup","File","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"sagebrush    ","sxwprod_v2.Current.in","0","-0.016875","-0.12","-0.13","-0.203356481","0.033703704","0.02625","0.02037037","0.026226852","0","0","0.003125"
"a.cool.forb  ","sxwprod_v2.Current.in","0","-0.0421875","-0.05","-0.1","-0.172453704","-0.111111111","0.21875","0.018518519","0.00775463","0","0","0"
"a.warm.forb  ","sxwprod_v2.Current.in","0","0","-0.05","-0.15","-0.169560185","-0.125925926","0.025","0.074074074","0.030439815","0","0","0"
"p.cool.forb  ","sxwprod_v2.Current.in","0","-0.0421875","-0.05","-0.1","-0.172453704","-0.111111111","0.21875","0.018518519","0.00775463","0","0","0"
"p.warm.forb  ","sxwprod_v2.Current.in","0","0","-0.05","-0.15","-0.169560185","-0.125925926","0.0125000000000001","0.014814815","0.035648148","0","0","0.0078125"
"a.cool.grass ","sxwprod_v2.Current.in","0","-0.0421875","0","-0.3","-0.15625","0.17037037","0.1875","0","0","0","0","0"
"p.cool.grass  ","sxwprod_v2.Current.in","0","-0.0421875","-0.05","-0.1","-0.172453704","-0.111111111","0.21875","0.018518519","0.00775463","0","0","0"
"p.warm.grass  ","sxwprod_v2.Current.in","0","0","-0.1","-0.1","-0.172453704","-0.125925926","0.0125000000000001","0.014814815","0.035648148","0","0","0.0078125"
"shrub         ","sxwprod_v2.Current.in","0","-0.0675","-0.12","-0.13","-0.203356481","0.033703704","0.02625","0.02037037","0.026226852","0","0","0.0125"
"succulents    ","sxwprod_v2.Current.in","0","0","-0.1","-0.1","-0.172453704","-0.118518519","0.1","-0.051851852","0.037962963","0","0","0.015625"
"sagebrush    ","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","-0.016875","-0.12","-0.13","-0.203356481","0.033703704","0.02625","0.02037037","0.026226852","0","0","0.003125"
"a.cool.forb  ","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","-0.0421875","-0.05","-0.1","-0.172453704","-0.111111111","0.21875","0.018518519","0.00775463","0","0","0"
"a.warm.forb  ","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","0","-0.05","-0.15","-0.169560185","-0.125925926","0.025","0.074074074","0.030439815","0","0","0"
"p.cool.forb  ","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","-0.0421875","-0.05","-0.1","-0.172453704","-0.111111111","0.21875","0.018518519","0.00775463","0","0","0"
"p.warm.forb  ","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","0","-0.05","-0.15","-0.169560185","-0.125925926","0.0125000000000001","0.014814815","0.035648148","0","0","0.0078125"
"a.cool.grass ","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","-0.0421875","0","-0.3","-0.15625","0.17037037","0.1875","0","0","0","0","0"
"p.cool.grass  ","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","-0.0421875","-0.05","-0.1","-0.172453704","-0.111111111","0.21875","0.018518519","0.00775463","0","0","0"
"p.warm.grass  ","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","0","-0.1","-0.1","-0.172453704","-0.125925926","0.0125000000000001","0.014814815","0.035648148","0","0","0.0078125"
"shrub         ","sxwprod_v2.hybrid-delta-3mod.d50yrs.RCP45.CSIRO-Mk3-6-0.in","0","-0.0675","-0.12","-0.13","-0.203356481","0.033703704","0.02625","0.02037037","0.026226852","0","0","0.0125"
