,January,February,March,April,May,June,July,August,September,October,November,December
sagebrush,0.38,0.38,0.38,0.5,0.72,0.84,0.94,1,0.84,0.72,0.52,0.46
a.cool.forb,0,0.2,0.5,0.8,1,0.8,0.2,0.2,0.1,0,0,0
a.warm.forb,0,0,0.2,0.5,0.72,0.8,1,0.9,0.4,0.2,0,0
p.cool.forb,0,0.2,0.5,0.8,1,0.6,0.3,0.2,0.2,0.1,0,0
p.warm.forb,0,0,0.1,0.3,0.5,0.7,0.9,1,0.7,0.3,0.2,0
a.cool.grass,0.2,0.4,0.6,0.8,1,0.5,0.1,0.1,0.1,0.2,0.2,0.2
p.cool.grass,0.2,0.4,0.6,0.8,1,0.8,0.6,0.4,0.2,0.2,0.2,0.2
p.warm.grass,0.2,0.2,0.2,0.3,0.5,0.7,0.9,1,0.8,0.4,0.3,0.2
shrub,0.38,0.38,0.38,0.5,0.72,0.84,0.94,1,0.84,0.72,0.52,0.46
succulents,0.38,0.38,0.38,0.5,0.72,0.84,0.94,1,0.84,0.72,0.52,0.46
