,January,February,March,April,May,June,July,August,September,October,November,December
growing_season,0,0,1,1,1,1,1,1,1,1,0,0
sagebrush_phenology,0.0125,0.0125,0.1,0.125,0.15,0.25,0.15,0.1,0.0625,0.0125,0.0125,0.0125
a.cool.forb_phenology,0,0.05,0.1,0.2,0.35,0.2,0.1,0,0,0,0,0
a.warm.forb_phenology,0,0,0,0.1,0.25,0.3,0.2,0.1,0.05,0,0,0
p.cool.forb_phenology,0,0.05,0.1,0.2,0.35,0.2,0.1,0,0,0,0,0
p.warm.forb_phenology,0,0,0,0.1,0.25,0.3,0.2,0.1,0.05,0,0,0
a.cool.grass_phenology,0.05,0.1,0.15,0.2,0.3,0.05,0,0,0,0.05,0.05,0.05
p.cool.grass_phenology,0,0.05,0.1,0.2,0.3,0.2,0.1,0.05,0,0,0,0
p.warm.grass_phenology,0,0,0,0.05,0.15,0.4,0.2,0.15,0.05,0,0,0
shrub_phenology,0,0.025,0.1,0.125,0.15,0.25,0.15,0.1,0.0625,0.0125,0.025,0
succulents_phenology,0,0,0.05,0.1,0.15,0.17,0.18,0.15,0.1,0.05,0.05,0
sagebrush_pctlive,0.38,0.38,0.38,0.5,0.72,0.84,0.94,1,0.84,0.72,0.52,0.46
a.cool.forb_pctlive,0,0.2,0.5,0.8,1,0.8,0.2,0.2,0.1,0,0,0
a.warm.forb_pctlive,0,0,0.2,0.5,0.72,0.8,1,0.9,0.4,0.2,0,0
p.cool.forb_pctlive,0,0.2,0.5,0.8,1,0.6,0.3,0.2,0.2,0.1,0,0
p.warm.forb_pctlive,0,0,0.1,0.3,0.5,0.7,0.9,1,0.7,0.3,0.2,0
a.cool.grass_pctlive,0.2,0.4,0.6,0.8,1,0.5,0.1,0.1,0.1,0.2,0.2,0.2
p.cool.grass_pctlive,0.2,0.4,0.6,0.8,1,0.8,0.6,0.4,0.2,0.2,0.2,0.2
p.warm.grass_pctlive,0.2,0.2,0.2,0.3,0.5,0.7,0.9,1,0.8,0.4,0.3,0.2
shrub_pctlive,0.38,0.38,0.38,0.5,0.72,0.84,0.94,1,0.84,0.72,0.52,0.46
succulents_pctlive,0.38,0.38,0.38,0.5,0.72,0.84,0.94,1,0.84,0.72,0.52,0.46
sagebrush_biomass,0.38,0.38,0.38,0.5,0.72,0.84,0.94,1,0.84,0.72,0.52,0.46
a.cool.forb_biomass,0,0.2,0.5,0.8,1,0.8,0.2,0.2,0.1,0,0,0
a.warm.forb_biomass,0,0,0.2,0.5,0.72,0.8,1,0.9,0.4,0.2,0,0
p.cool.forb_biomass,0,0.2,0.5,0.8,1,0.6,0.3,0.2,0.2,0.1,0,0
p.warm.forb_biomass,0,0,0.1,0.3,0.5,0.7,0.9,1,0.7,0.3,0.2,0
a.cool.grass_biomass,0.2,0.4,0.6,0.8,1,0.5,0.1,0.1,0.1,0.2,0.2,0.2
p.cool.grass_biomass,0.2,0.4,0.6,0.8,1,0.8,0.6,0.4,0.2,0.2,0.2,0.2
p.warm.grass_biomass,0.2,0.2,0.2,0.3,0.5,0.7,0.9,1,0.8,0.4,0.3,0.2
shrub_biomass,0.38,0.38,0.38,0.5,0.72,0.84,0.94,1,0.84,0.72,0.52,0.46
succulents_biomass,0.38,0.38,0.38,0.5,0.72,0.84,0.94,1,0.84,0.72,0.52,0.46
LITTER,0.75,0.8,0.85,0.75,0.36,0.31,0.28,0.29,0.38,0.46,0.58,0.68
