,January,February,March,April,May,June,July,August,September,October,November,December
sagebrush,0.0125,0.0125,0.1,0.125,0.15,0.25,0.15,0.1,0.0625,0.0125,0.0125,0.0125
a.cool.forb,0,0.05,0.1,0.2,0.35,0.2,0.1,0,0,0,0,0
a.warm.forb,0,0,0,0.1,0.25,0.3,0.2,0.1,0.05,0,0,0
p.cool.forb,0,0.05,0.1,0.2,0.35,0.2,0.1,0,0,0,0,0
p.warm.forb,0,0,0,0.1,0.25,0.3,0.2,0.1,0.05,0,0,0
a.cool.grass,0.05,0.1,0.15,0.2,0.3,0.05,0,0,0,0.05,0.05,0.05
p.cool.grass,0,0.05,0.1,0.2,0.3,0.2,0.1,0.05,0,0,0,0
p.warm.grass,0,0,0,0.05,0.15,0.4,0.2,0.15,0.05,0,0,0
shrub,0,0.025,0.1,0.125,0.15,0.25,0.15,0.1,0.0625,0.0125,0.0125,0
succulents,0,0,0.05,0.1,0.15,0.17,0.18,0.15,0.1,0.05,0.05,0
